student_regno,first_name,middle_name,last_name,sex,date_birth,nationality,state_origin,lga,blood_group,guardian_name,guardian_address,guardian_phone,guardian_email
17041,Tester,avaa,Tor,Male,26 02 89,Nigerian,Plateau,Liyom,B+,James,Gboko,99999999999,anantheophizy04$gmail.com
17042,Abur,Ternenge,Peter,Male,10 10 10,Ghanian,Accra,North,,Apiah,Accra Ghabna,9089899,
17039,Ronald,perez,Yua,Male,30 03 90,Nigerian,Lagos,Ikorodu,O+,Josh,Ikorudu Lagis,98852663,
17043,Tersuur,Ternenge,Zua,Male,,,,,,,,,
17044,Ava,Abua,Phil,Female,,,,,,,,,
17045,Kur,Ben,Esther,Female,,,,,,,,,
17046,Vital,Igue,Terkimbir,Male,,,,,,,,,
17047,Sheddy,akor,Eche,Male,,,,,,,,,
17048,Damilolo,Ayo,Grace,Female,,,,,,,,,
17049,Ejeh,Kole,Ernest,Male,,,,,,,,,
17050,James,Attah,Joe,Male,,,,,,,,,
17051,Uche,Pius,Ugochuku,Male,,,,,,,,,
17052,Ugo,Blessing,Hembafan,Female,,,,,,,,,
17053,Omale,Grace,Igede,Female,,,,,,,,,
17054,Fred,Omale,Paul,Male,,,,,,,,,
17055,Avur,Chongu,Chou,Male,,,,,,,,,
17056,Teryila,Saul,Apir,Male,,,,,,,,,
17057,Kuman,Aseer,Kaddon,Female,,,,,,,,,
17058,Anande,Kasev,Dorcas,Female,,,,,,,,,
17059,Asue,Cyprine,Ayas,Male,,,,,,,,,
17060,Pila,Abel,Msuega,Male,,,,,,,,,
17061,Chenge,Ambrose,Nom,Male,,,,,,,,,
17062,Kur,Theo,Angoh,Male,,,,,,,,,
17063,Tor,Kula,Cian,Male,,,,,,,,,
17064,Adebayol,Peter,Omo,Male,,,,,,,,,
17065,Chinedu,Mary,Chinyere,Female,,,,,,,,,
17066,Chuku,Emeka,Ebuka,Male,,,,,,,,,
17067,Emeka,Joy,Lucy,Female,,,,,,,,,
17068,Ebuka,Martha,Lizzy,Female,,,,,,,,,
17069,Sule,Rita,Dominic,Female,,,,,,,,,
17070,Musa,Rahmat,Abubarka,Female,,,,,,,,,
